Chr	gene_name	geneStart	geneEnd	exon_name	exonStart	exonEnd
chr2	TTN	179610311	179669368	exon0	179610311	179616765
chr2	TTN	179610311	179669368	exon1	179617850	179617906
chr2	TTN	179610311	179669368	exon2	179623710	179623898
chr2	TTN	179610311	179669368	exon3	179628903	179629028
chr2	TTN	179610311	179669368	exon4	179629253	179629537
chr2	TTN	179610311	179669368	exon5	179631107	179631338
chr2	TTN	179610311	179669368	exon6	179632485	179632650
chr2	TTN	179610311	179669368	exon7	179632740	179632881
chr2	TTN	179610311	179669368	exon8	179633399	179633659
chr2	TTN	179610311	179669368	exon9	179634405	179634665
chr2	TTN	179610311	179669368	exon10	179634786	179635046
chr2	TTN	179610311	179669368	exon11	179635138	179635401
chr2	TTN	179610311	179669368	exon12	179635937	179636197
chr2	TTN	179610311	179669368	exon13	179637835	179638095
chr2	TTN	179610311	179669368	exon14	179638188	179638451
chr2	TTN	179610311	179669368	exon15	179638564	179638836
chr2	TTN	179610311	179669368	exon16	179638933	179639199
chr2	TTN	179610311	179669368	exon17	179639647	179639928
chr2	TTN	179610311	179669368	exon18	179640082	179641775
chr2	TTN	179610311	179669368	exon19	179641875	179642043
chr2	TTN	179610311	179669368	exon20	179642146	179642310
chr2	TTN	179610311	179669368	exon21	179642430	179642701
chr2	TTN	179610311	179669368	exon22	179643600	179643844
chr2	TTN	179610311	179669368	exon23	179643955	179644188
chr2	TTN	179610311	179669368	exon24	179644726	179644931
chr2	TTN	179610311	179669368	exon25	179645847	179645989
chr2	TTN	179610311	179669368	exon26	179646938	179647153
chr2	TTN	179610311	179669368	exon27	179647265	179647328
chr2	TTN	179610311	179669368	exon28	179647532	179647790
chr2	TTN	179610311	179669368	exon29	179648446	179648511
chr2	TTN	179610311	179669368	exon30	179648796	179649077
chr2	TTN	179610311	179669368	exon31	179650346	179650468
chr2	TTN	179610311	179669368	exon32	179650574	179650867
chr2	TTN	179610311	179669368	exon33	179654086	179654223
chr2	TTN	179610311	179669368	exon34	179654704	179654841
chr2	TTN	179610311	179669368	exon35	179655434	179655571
chr2	TTN	179610311	179669368	exon36	179656798	179656923
chr2	TTN	179610311	179669368	exon37	179658130	179658267
chr2	TTN	179610311	179669368	exon38	179659125	179659277
chr2	TTN	179610311	179669368	exon39	179659648	179659978
chr2	TTN	179610311	179669368	exon40	179664213	179664457
chr2	TTN	179610311	179669368	exon41	179664551	179664636
chr2	TTN	179610311	179669368	exon42	179665121	179665408
chr2	TTN	179610311	179669368	exon43	179666864	179667067
chr2	TTN	179610311	179669368	exon44	179669278	179669368
