CHROM	POS	AC	AN	PolyPhen	LoF_flags	LoF	AF
2	179391750	1	120824	NA	NA	LC	8.276501357346223E-6
2	179391825	1	120880	NA	NA	LC	8.27266710787558E-6
2	179392218	2	120802	NA	NA	LC	1.6556017284482045E-5
2	179392224	1	120804	NA	NA	LC	8.27787159365584E-6
2	179393000	2	120856	NA	NA	HC	1.654861984510492E-5
2	179393026	1	120862	NA	NA	LC	8.273899157717065E-6
2	179393329	1	120856	NA	NA	LC	8.27430992255246E-6
2	179393519	1	120968	NA	NA	LC	8.266649031148734E-6
2	179393524	2	120968	NA	NA	LC	1.653329806229747E-5
2	179393618	1	120878	NA	NA	LC	8.272803984182399E-6
2	179393686	1	120840	NA	NA	LC	8.27540549486925E-6
2	179393948	1	110380	NA	NA	HC	9.05961224859576E-6
2	179394686	1	120778	NA	NA	HC	8.279653579294243E-6
2	179394966	1	120788	NA	NA	HC	8.278968109414843E-6
2	179395282	1	120808	NA	NA	LC	8.277597510098669E-6
2	179395317	1	120818	NA	NA	LC	8.276912380605539E-6
2	179395407	2	120826	NA	NA	LC	1.655272871732905E-5
2	179395527	2	120886	NA	NA	LC	1.6544513012259483E-5
2	179395536	1	120878	NA	NA	LC	8.272803984182399E-6
2	179395919	1	120882	NA	NA	LC	8.272530236098013E-6
2	179395991	1	120810	NA	NA	LC	8.27746047512623E-6
2	179396614	1	120828	NA	NA	LC	8.276227364518158E-6
2	179396617	1	120818	NA	NA	LC	8.276912380605539E-6
2	179396801	1	120964	NA	NA	LC	8.266922390132602E-6
2	179396929	1	120860	NA	NA	LC	8.274036074797286E-6
2	179396942	1	120866	NA	NA	LC	8.273625337150233E-6
2	179397158	1	120856	NA	NA	LC	8.27430992255246E-6
2	179397250	1	120834	NA	NA	LC	8.275816409288777E-6
2	179397396	3	120856	NA	NA	LC	2.4822929767657376E-5
2	179397397	3	120854	NA	NA	LC	2.4823340559683586E-5
2	179397931	1	120868	NA	NA	HC	8.27348843366317E-6
2	179397934	1	120862	NA	NA	HC	8.273899157717065E-6
2	179397981	2	120890	NA	NA	HC	1.6543965588551577E-5
2	179398819	2	120870	NA	NA	HC	1.654670306941342E-5
2	179399071	1	120834	NA	NA	HC	8.275816409288777E-6
2	179399104	1	120840	NA	NA	HC	8.27540549486925E-6
2	179399119	1	120854	NA	NA	HC	8.274446853227862E-6
2	179400235	1	121006	NA	NA	HC	8.26405302216419E-6
